CountyState,Average,RegionID
"Dauphin, PA",123400,11817
"Wilson, NC",210500,7962
"Lancaster, SC",109700,25496
"Winnebago, WI",213700,53752
"Hennepin, MN",596200,4520
"Mohave, AZ",204700,46039
"Washington, OR",549800,14138
"Burke, NC",177100,39864
"Butler, OH",83200,53304
"San Benito, CA",482600,52547
"Middlesex, CT",309900,46523
"Johnson, KS",243000,25550
"Wayne, MI",79700,26713
"Suffolk, MA",447500,54111
"Hartford, CT",237300,17871
"Miami-Dade, FL",232400,5201
"Ward, ND",209000,12765
"Loudoun, VA",729900,30829
"Warren, MS",192000,41491
"Pierce, WA",414300,7153
"Riverside, CA",343700,30788
"Wake, NC",282000,4854
"Broome, NY",125100,264393
"Rutherford, TN",272300,54450
"Fairfax, VA",1216300,46465
"Saline, KS",103100,13678
"Du Page, IL",385900,12426
"Maury, TN",212200,30993
"Lee, FL",241800,33151
"Pinellas, FL",210600,26512
"Kalamazoo, MI",152800,13370
"Imperial, CA",285900,11274
"Lake, OH",293700,46503
"Honolulu, HI",1074900,12157
"Du Page, IL",490800,24420
"Palm Beach, FL",491000,21195
"Highlands, FL",180000,27016
"San Bernardino, CA",408400,28485
"Wake, NC",444900,55006
"Essex, MA",434100,15796
"Contra Costa, CA",1559400,38134
"Salt Lake, UT",368200,6102
"Cuyahoga, OH",240800,21995
"Middlesex, NJ",489700,395756
"Nassau, NY",642700,12608
"Wilson, TN",306000,25534
"Fulton, GA",597000,397383
"Calhoun, MI",127800,37303
"Butte, CA",266900,13127
"Middlesex, NJ",521400,15471
"Morgan, AL",92800,4317
"Los Angeles, CA",703300,5465
"Tangipahoa, LA",150500,52391
"Wake, NC",477600,16785
"Maricopa, AZ",188500,3869
"Dakota, MN",485700,32409
"Benton, WA",397900,20164
"Hennepin, MN",353900,6892
"Honolulu, HI",792100,41533
"Macomb, MI",158200,20245
"Mecklenburg, NC",401100,5239
"Riverside, CA",492100,46500
"Cuyahoga, OH",196000,24117
"Oktibbeha, MS",174100,47830
"Alameda, CA",967300,30785
"Orange, CA",582000,37086
"DeSoto, MS",159900,50450
"Middlesex, NJ",355800,47071
